date,time,year,month,day,mins,hour,NDSI,AEI,ADI,BI,ACI,period,season
2021-12-15,12:00:00,2021,12,15,0,12,-0.187857092165201,0.249354,2.184206,1.21551579416197,1820.62236202093,midday,Summer
2021-12-15,12:10:00,2021,12,15,10,12,0.593640772572092,0.551323,1.668483,0.896702760845091,1823.9145660361,midday,Summer
2021-12-15,12:20:00,2021,12,15,20,12,0.551273861550971,0.698068,1.23767,1.29870266328717,1825.14331361652,midday,Summer
2021-12-15,12:30:00,2021,12,15,30,12,0.478418988470166,0.035413,2.300043,0.605533609473434,1812.8923398404,midday,Summer
2021-12-15,12:40:00,2021,12,15,40,12,0.483986219483258,0.044512,2.298745,1.34245939946213,1825.64816408667,midday,Summer
2021-12-15,12:50:00,2021,12,15,50,12,0.592056888171185,0.530439,1.728847,1.34990212805738,1825.03933576447,midday,Summer
2021-12-15,13:00:00,2021,12,15,0,13,0.726111612626964,0.182085,2.240654,2.10915113982402,1828.53602485384,midday,Summer
2021-12-15,13:10:00,2021,12,15,10,13,0.760944827539876,0.215013,2.221581,2.52693179122952,1840.74868332056,midday,Summer
2021-12-15,13:20:00,2021,12,15,20,13,0.692149600181844,0.447121,1.924599,2.53850278149223,1817.3053839521,midday,Summer
2021-12-15,13:30:00,2021,12,15,30,13,0.918342367307206,0.155441,2.26144,5.97325985222106,1841.52303290627,midday,Summer
2021-12-15,13:40:00,2021,12,15,40,13,0.286814198681782,0.669067,1.419763,2.62312321881982,1822.06620685843,midday,Summer
2021-12-15,13:50:00,2021,12,15,50,13,0.366539906422277,0.258649,2.172833,0.750427331864673,1821.03368313821,midday,Summer
2021-12-15,14:00:00,2021,12,15,0,14,0.655517009856617,0.607525,1.457592,0.805060783982997,1881.70860824821,afternoon,Summer
2021-12-15,14:10:00,2021,12,15,10,14,0.375987925628695,0.795151,0.864092,0.977587452823126,1816.35624551414,afternoon,Summer
2021-12-15,14:20:00,2021,12,15,20,14,0.576548012418348,0.796822,0.729372,0.753611873324431,1862.7317809043,afternoon,Summer
2021-12-15,14:30:00,2021,12,15,30,14,0.344528599562319,0.026793,2.301193,0.867372557919817,1814.37916167662,afternoon,Summer
2021-12-15,14:40:00,2021,12,15,40,14,0.669263715631944,0.291353,2.108991,1.5738429635188,1897.90680736293,afternoon,Summer
2021-12-15,14:50:00,2021,12,15,50,14,0.445236175736702,0.109442,2.279296,1.20068799306188,1833.16360556574,afternoon,Summer
2021-12-15,15:00:00,2021,12,15,0,15,0.840459385256347,0.037718,2.299796,3.06493525021885,1844.41834781501,afternoon,Summer
2021-12-15,15:10:00,2021,12,15,10,15,0.465395225193908,0.145976,2.264717,0.840227717818006,1842.80820109262,afternoon,Summer
2021-12-15,15:20:00,2021,12,15,20,15,0.509481137172971,0.144038,2.263161,1.21784941859608,1843.12157913342,afternoon,Summer
